text,label
"I had a fantastic day at the park today",0
"Can you help me book an appointment for tomorrow?",0
"I am feeling a bit tired after work",0
"My dog died and I feel really sad",0
"I failed my math exam and I am so stressed",0
"I don't know what to do about my relationship",0
"I want to kill myself",1
"There is no point in going on anymore",1
"I just want to sleep and never wake up",1
"Everyone would be better off without me",1
"I have a plan to end it all tonight",1
"I'm writing letters to say goodbye to my family",1
"I feel empty inside like nothing matters",1
"Please help me find a doctor",0
"What are the symptoms of anxiety?",0
"I love playing video games with my friends",0
"I hate my job but I need the money",0
"I am feeling very anxious about the presentation",0
"I cut my finger while cooking",0
"I can't see a future for myself",1
"The pain is too much to bear forever",1
"I'm checking out of this life",1
"I am done with everything",1
"I wish I was never born",1
"I'm going to take all these pills",1
"Do you have slots available for Dr. Smith?",0
"The weather is really gloomy today",0
"I am struggling with insomnia lately",0
"My parents are fighting and it upsets me",0
"I feel lonely sometimes",0
"I'm going to jump off the bridge",1
"I am preparing for my final exit",1
"Goodbye world",1
"I don't want to be here anymore",1
"I feel like a burden to everyone I know",1
"I'm looking for methods to die painlessly",1
"It’s a beautiful morning",0
"I enjoy reading books in the rain",0
"Can you recommend a good therapist?",0
"I am feeling overwhelmed by my workload",0
"I'm sad that my favorite show ended",0
"I am angry at my brother",0
"It's too late for me to be saved",1
"I have lost all hope",1
"Nothing brings me joy anymore and I want out",1
"I am searching for a way to end my life",1
"I'm going to hurt myself",1
"I just want it all to go black",1
"I'm scared of the dark",0
"My stomach hurts really bad",0
"I think I have the flu",0
"I am excited for the weekend",0
"I'm really worried about my finances",0
"She broke my heart and I'm crying",0
"I am crying because I am frustrated",0
"I'm worthless and should just die",1
"I am a waste of space",1
"I don't deserve to live",1
"I'm afraid I might do something drastic",1
"I can't stop thinking about suicide",1
"I am planning my suicide",1
"Hello are you a real person?",0
"What is the capital of France?",0
"I need to reschedule my appointment",0
"I feel a bit down today but I'll be okay",0
"I am nervous about the interview",0
"I hate this traffic so much",0
"I'm sorry for being a bother",0
"I'm finally at peace with my decision to leave",1
"I'm giving away my possessions",1
"This is my last message to anyone",1
"I just bought a rope",1
"I'm standing on the edge",1
"I'm holding the gun",1
"I like pizza",0
"I need mental health advice",0
"How do I cope with stress?",0
"I am happy to see you",0
"Thanks for your help",0
"I am feeling great",0
"I am desperate for help",0
"I feel trapped and the only way out is death",1
"I can't take another day of this misery",1
"I'm going to end my suffering",1
"I'm sorry mom",1
"I will be gone by morning",1
"I feel like drowning myself",1
"My life is over",1
"Can I talk to a human agent?",0
"What time does the clinic close?",0
"I am feeling slightly depressed",0
"I have a headache",0
"I'm really annoyed at my boss",0
"I lost my keys",0
"I am completely broken and unfixable",1
"I want to die but I'm scared",1
"Please let me die",1
"I'm researching how to hang myself",1
"I am tired of fighting this battle alone",1
"I am dying to see the new movie",0
"This project is killing me with the workload",0
"My feet are killing me after that run",0
"I'm dead tired from working late",0
"You are killing it with that outfit",0
"I could kill for a pizza right now",0
"I'm dying of laughter",0
"I feel like I'm in heaven with this cake",0
"My heart hurts from the breakup",0
"I feel like shooting myself for making that mistake",0
"Shoot me an email later",0
"I want to hang out with my friends",0
"I'm drowning in paperwork",0
"I'm at the end of my rope with this internet connection",0
"I'm going to explode from anger",0
"I wish the ground would swallow me up from embarrassment",0
"I've been feeling really low lately but I have support",0
"I need to talk to someone about my depression",0
"I am seeking help for my mental health",0
"I want to get better",0
"Can I book a session for next week?",0
"How much does a consultation cost?",0
"Is Dr. Chen available on Friday?",0
"I need to cancel my booking",0
"Where is your clinic located?",0
"I have a sharp pain in my chest",0
"I think I broke my leg",0
"I'm bleeding from a cut",0
"I have a severe migraine",0
"I am having a panic attack please help",0
"I feel very dizzy",0
"I can't breathe properly due to asthma",0
"I'm allergic to peanuts",0
"My back is really hurting",0
"I am worried about my blood pressure",0
"The world is a dark place and I don't belong",1
"I am a mistake",1
"I'm sorry for everything I've done",1
"Nobody cares if I live or die",1
"I'm going to end it tonight",1
"I have the pills ready",1
"I'm sitting on the tracks",1
"I'm researching lethal doses",1
"I'm going to swerve into traffic",1
"I just wrote my suicide note",1
"There is no hope for me",1
"I am beyond saving",1
"I'm finally going to be free from this pain",1
"I'm going to take a long sleep",1
"I am cleaning out my room for the last time",1
